Beginning CellID,Mother_CellID,Child1_CellID,Child2_CellID,Life of mother in t,the name of the Beginning cell,fate 1 of the Beginning cell,fate 2 of the Beginning cell,fate 3 of the Begining cell
700112,880157,0,0,19,a10.0058*,Posterior Lateral Neural Plate,Lateral Neural Plate,Posterior Lateral Neural Plate
700113,880159,0,0,19,a10.0057*,Posterior Lateral Neural Plate,Lateral Neural Plate,Posterior Lateral Neural Plate
700116,880164,0,0,19,b10.0017*,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
700117,880165,0,0,19,b10.0018*,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
700251,880323,0,0,19,b10.0128*,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
700252,880324,0,0,19,b10.0127*,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
700253,880325,0,0,19,b10.0126*,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
700254,880326,0,0,19,b10.0125*,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
700294,880371,0,0,19,a10.0079*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
700295,880372,0,0,19,a10.0080*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
700302,880381,0,0,19,b10.0111_,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
700303,880382,0,0,19,b10.0112_,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
700310,880389,0,0,19,b10.0092*,Medio-Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
700311,880390,0,0,19,b10.0091*,Medio-Lateral Tail Epidermis,Lateral Tail Epidermis,Tail Epidermis
710034,880045,0,0,18,a9.0007*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
710035,880046,0,0,18,a9.0008*,Anterior Head Endoderm,Anterior Endoderm,Head Endoderm
710044,880061,0,0,18,a10.0026*,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
710045,880062,0,0,18,a10.0025*,Posterior Ventral Neural Plate,Posterior ventral Neural Plate,Posterior Ventral Neural Plate
710051,880069,0,0,18,b10.0069_,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
710052,880070,0,0,18,b10.0070_,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
710076,880110,0,0,18,b10.0082_,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
710077,880111,0,0,18,b10.0081_,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
710104,880143,0,0,18,b10.0090_,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
710105,880144,0,0,18,b10.0089_,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
710212,880274,0,0,18,b10.0069*,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
710213,880275,0,0,18,b10.0070*,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
710227,880291,0,0,18,b10.0093*,Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
710231,880294,0,0,18,b10.0089*,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
710232,880295,0,0,18,b10.0090*,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
710239,880302,0,0,18,b10.0107*,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
710240,880303,0,0,18,b10.0108*,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
710279,880343,0,0,18,b10.0085*,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
710280,880344,0,0,18,b10.0086*,Medio-Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
710314,880383,0,0,18,b10.0109_,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
710315,880384,0,0,18,b10.0110_,Midline Tail Epidermis,Midline Tail Epidermis,Tail Epidermis
710336,880394,0,0,18,b10.0094*,Lateral Tail Epidermis,Mediolateral Tail Epidermis,Tail Epidermis
720038,880051,0,0,17,b10.0018_,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
720039,880052,0,0,17,b10.0017_,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
720093,880126,0,0,17,b9.0027_,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
720094,880127,0,0,17,b9.0028_,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
720101,880137,0,0,17,a10.0071*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
720102,880138,0,0,17,a10.0072*,Anterior Ventral Neural Plate,Anterior + Dorsal Neural Plate,Anterior Ventral Neural Plate
720127,880166,0,0,17,b10.0020*,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
720128,880167,0,0,17,b10.0019*,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
720187,880238,0,0,17,b9.0027*,Mesenchyme,Mesoderm Mesenchyme,Mesenchyme
